question,answer_a,answer_b,answer_c,answer_d,answer_correct
Wie ist der Farbcode vom tarent rot?,#FF0000,#CC0000,#C02233,#00CCCC,#CC0000
Was war nie eine Adresse der tarent in Bonn?,Weißhausstraße,Heilsbachstraße,Bahnhofstraße,Rochusstraße,Weißhausstraße
Wie lautet die Adresse des neuen tarent Standortes in Bonn?,Max Straße,Am Probsthof,Provinzialstraße,Am Dickobskreuz,Am Dickobskreuz
Wie lautet die Adresse der Kölner Niederlassung der tarent?,Bonner Straße,Rhein-Ufer,Kennedy Ufer,Paul Linke Ufer,Kennedy Ufer
Wie lautet die Adresse der Berliner Niederlassung der tarent?,Jever Straße,Schiller Straße,Kohlfurter Str.,Bonner Straße,Kohlfurter Str.
Wie hieß das CRM was tarent anfangs entwickelt hat?,CRM 96,t-crm,ES,tarent Kontakt,tarent Kontakt
Wie hieß die tarent bevor sie tarent wurde?,talent,CIC,53 IT solutions,IT rent,CIC
Wo standen die Server am ersten tarent Standort?,In den Büros,Männerklo,Keller,Flur,Flur
Wie viele Mitglieder hat #offtopic Stand 31.10.2019,170,109,89,140,109
Wie hieß die Band von Timo und Klaas beim Sommerfest 2019 ,the loud ones,Spousal Soundsystem,just for fun,the tarentinos,Spousal Soundsystem
